label,text,clean_strict,clean_light
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gonna home soon want talk stuff anymore tonight cried enough today,I m gonna be home soon and i don t want to talk about this stuff anymore tonight  k? I ve cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash 100 000 pounds txt csh11 send 87575 cost 150p day 6days tsandcs apply reply info,SIX chances to win CASH! From 100 to 20 000 pounds txt  CSH11 and send to 87575  Cost 150p day  6days  16  TsandCs apply Reply HL 4 info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership 100 000 prize jackpot txt word claim 81010 www dbuk net lccltd pobox 4403ldnw1a7rw18,URGENT! You have won a 1 week FREE membership in our  100 000 Prize Jackpot! Txt the word  CLAIM to No  81010 T C www dbuk net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,I ve been searching for the right words to thank you for this breather  I promise i wont take your help for granted and will fulfil my promise  You have been wonderful and a blessing at all times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com qjkgighjjgcbl,XXXMobileMovieClub  To use your credit  click the WAP link in the next txt message or click here   http   wap  xxxmobilemovieclub com?n QJKGIGHJJGCBL
ham,Oh k...i'm watching here:),watching,Oh k   i m watching here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,remember spell name yes naughty make wet,Eh u remember how 2 spell his name    Yes i did  He v naughty make until i v wet
ham,Fine if thats the way u feel. Thats the way its gota b,fine way feel way gota,Fine if that s the way u feel  That s the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england macedonia dont miss goals team news txt national team 87077 england 87077 try wales scotland 4txt poboxox36504w45wq,England v Macedonia   dont miss the goals team news  Txt ur national team to 87077 eg ENGLAND to 87077 Try WALES  SCOTLAND 4txt  1 20 POBOXox36504W45WQ 16
ham,Is that seriously how you spell his name?,seriously spell name,Is that seriously how you spell his name?
ham,I‘m going to try for 2 months ha ha only joking,going try months joking,I m going to try for 2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,pay first lar stock comin,So   pay first lar    Then when is da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch str lor ard smth lor finish lunch already,Aft i finish my lunch then i go str down lor  Ard 3 smth lor  U finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,Ffffffffff  Alright no way I can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,Just forced myself to eat a slice  I m really not hungry tho  This sucks  Mark is getting worried  He knows I m sick when I turn down pizza  Lol
ham,Lol your always so convincing.,lol always convincing,Lol your always so convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom left dinner feel love,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom s left over dinner ? Do you feel my Love ?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car let know room,I m back  amp  we re packing the car now  I ll let you know if there s room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol,Ahhh  Work  I vaguely remember that! What does it feel like? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcastic want live,Wait that s still not all that clear  were you not sure about me being sarcastic or that that s why x doesn t want to live with us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got apologetic fallen actin like spoilt child got caught till badly cheers,Yeah he got in at 2 and was v apologetic  n had fallen out and she was actin like spoilt child and he got caught up in that  Till 2! But we won t go there! Not doing too badly cheers  You?
ham,K tell me anything about you.,tell anything,K tell me anything about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone mobile charged month please confirm replying yes reply charged,Thanks for your subscription to Ringtone UK your mobile will be charged  5 month Please confirm by replying YES or NO  If you reply NO you will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup home look timings msg xuhui going learn 2nd may lesson 8am,Yup    Ok i go home look at the timings then i msg   again    Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done",oops let know roommate done,Oops  I ll let you know when my roommate s done
ham,I see the letter B on my car,see letter car,I see the letter B on my car
ham,Anything lor... U decide...,anything lor decide,Anything lor    U decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday texting see decided anything tomo trying invite anything,Hello! How s you and how did saturday go? I was just texting to see if you d decided to do anything tomo  Not that i m trying to invite myself or anything!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls ahead watts wanted sure great weekend abiola,Pls go ahead with watts  I just wanted to be sure  Do have a great weekend  Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy,Did I forget to tell you ? I want you   I need you  I crave you     But most of all     I love you my sweet Arabian steed     Mmmmmm     Yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow,07732584351   Rodger Burns   MSG   We tried to call you re your reply to our sms for a free nokia mobile   free camcorder  Please call now 08000930705 for delivery tomorrow
ham,WHO ARE YOU SEEING?,seeing,WHO ARE YOU SEEING?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed inches,Great! I hope you like your man well endowed  I am  lt   gt  inches
ham,No calls..messages..missed calls,calls messages missed calls,No calls  messages  missed calls
ham,Didn't you get hep b immunisation in nigeria.,get hep immunisation nigeria,Didn t you get hep b immunisation in nigeria
ham,"Fair enough, anything going on?",fair enough anything going,Fair enough  anything going on?
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler could maybe ask around bit,Yeah hopefully  if tyler can t do it I could maybe ask around a bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,know stubborn even want hospital kept telling mark weak sucker hospitals weak suckers,U don t know how stubborn I am  I didn t even want to go to the hospital  I kept telling Mark I m not a weak sucker  Hospitals are for weak suckers
ham,What you thinked about me. First time you saw me in class.,thinked first time saw class,What you thinked about me  First time you saw me in class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like half eighth smarter though gets almost whole second gram,A gram usually runs like  lt   gt    a half eighth is smarter though and gets you almost a whole second gram for  lt   gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,fyi ride early tomorrow morning crashing place tonight,K fyi x has a ride early tomorrow morning but he s crashing at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,Wow  I never realized that you were so embarassed by your accomodations  I thought you liked it  since i was doing the best i could and you always seemed so happy about  the cave   I m sorry I didn t and don t have more to give  I m sorry i offered  I m sorry your room was so embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,SMS  ac Sptv  The New Jersey Devils and the Detroit Red Wings play Ice Hockey  Correct or Incorrect? End? Reply END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find url,Do you know what Mallika Sherawat did yesterday? Find out now    lt URL gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass call 09061209465 suprman matrix3 starwars3 etc free bx420 ip4 5we 150pm dont miss,Congrats! 1 year special cinema pass for 2 is yours  call 09061209465 now! C Suprman V  Matrix3  StarWars3  etc all 4 FREE! bx420 ip4 5we  150pm  Dont miss out!
ham,"Sorry, I'll call later in meeting.",sorry call later meeting,Sorry  I ll call later in meeting
ham,Tell where you reached,tell reached,Tell where you reached
ham,Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series,Yes  gauti and sehwag out of odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick burger way home even move pain killing,Your gonna have to pick up a $1 burger for yourself on your way home  I can t even move  Pain is killing me
ham,Ha ha ha good joke. Girls are situation seekers.,good joke girls situation seekers,Ha ha ha good joke  Girls are situation seekers
ham,Its a part of checking IQ,part checking,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever come,Sorry my roommates took forever  it ok if I come by now?
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,lar double check wif hair dresser already said wun cut short said cut look nice,Ok lar i double check wif da hair dresser already he said wun cut v short  He said will cut until i look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589,As a valued customer  I am pleased to advise you that following recent review of your Mob No  you are awarded with a  1500 Bonus Prize  call 09066364589
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day song dedicate send valuable frnds first rply,Today is  song dedicated day    Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 morefrmmob shracomorsglsuplt ls1 3aj,Urgent UR awarded a complimentary trip to EuroDisinc Trav  Aco Entry41 Or  1000  To claim txt DIS to 87121 18 6  1 50 moreFrmMob  ShrAcomOrSglSuplt 10  LS1 3AJ
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",hear new divorce barbie comes ken stuff,Did you hear about the new  Divorce Barbie ? It comes with all of Ken s stuff!
ham,I plane to give on this month end.,plane give month end,I plane to give on this month end
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,Wah lucky man    Then can save money    Hee
ham,Finished class where are you.,finished class,Finished class where are you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,babe home wanna something,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,K..k:)where are you?how did you performed?,performed,K  k  where are you?how did you performed?
ham,U can call me now...,call,U can call me now
ham,I am waiting machan. Call me once you free.,waiting machan call free,I am waiting machan  Call me once you free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect,Thats cool  i am a gentleman and will treat you with dignity and respect
ham,I like you peoples very much:) but am very shy pa.,like peoples much shy,I like you peoples very much   but am very shy pa
ham,Does not operate after  &lt;#&gt;  or what,operate,Does not operate after  lt   gt  or what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much earn,Its not the same here  Still looking for a job  How much do Ta s earn there
ham,"Sorry, I'll call later",sorry call later,Sorry  I ll call later
ham,K. Did you call me just now ah? ,call,K  Did you call me just now ah?
ham,Ok i am on the way to home hi hi,way home,Ok i am on the way to home hi hi
ham,You will be in the place of that man,place man,You will be in the place of that man
ham,Yup next stop.,yup next stop,Yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sms,I call you later  don t have network  If urgnt  sms me
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real getting need tickets one jacket done already used multis,For real when u getting on yo? I only need 2 more tickets and one more jacket and I m done  I already used all my multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send requests make pain came back back bed double coins factory gotta cash nitros,Yes I started to send requests to make it but pain came back so I m back in bed  Double coins at the factory too  I gotta cash in all my nitros
ham,I'm really not up to it still tonight babe,really still tonight babe,I m really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free..",ela kano download come wen free,Ela kano  il download  come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah stand close tho catch something,Yeah do! Don t stand to close tho  you ll catch something!
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain meet another night spent late afternoon casualty means done stuff42moro includes time sheets sorry,Sorry to be a pain  Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that  Sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves see smiling,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative 0800 169 6031 10am 9pm guaranteed 1000 cash 5000 prize,Please call our customer service representative on 0800 169 6031 between 10am 9pm as you have WON a guaranteed  1000 cash or  5000 prize!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got 530 show afternoon finish work already,Havent planning to buy later  I check already lido only got 530 show in e afternoon  U finish work already?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml box 5249 mk17 92h 450ppw,Your free ringtone is waiting to be collected  Simply text the password  MIX  to 85069 to verify  Get Usher and Britney  FML  PO Box 5249  MK17 92H  450Ppw 16
ham,Watching telugu movie..wat abt u?,watching telugu movie wat abt,Watching telugu movie  wat abt u?
ham,i see. When we finish we have loads of loans to pay,see finish loads loans pay,i see  When we finish we have loads of loans to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hols yes bit run forgot hairdressers appointment four need get home shower beforehand cause prob,Hi  Wk been ok   on hols now! Yes on for a bit of a run  Forgot that i have hairdressers appointment at four so need to get home n shower beforehand  Does that cause prob for u?
ham,I see a cup of coffee animation,see cup coffee animation,I see a cup of coffee animation
ham,Please don't text me anymore. I have nothing else to say.,please text anymore nothing else say,Please don t text me anymore  I have nothing else to say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name price long legal wen pick ave ams,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,still looking car buy gone 4the driving test yet,I m still looking for a car to buy  And have not gone 4the driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,As per your request  Melle Melle  Oru Minnaminunginte Nurungu Vettam   has been set as your callertune for all Callers  Press  9 to copy your friends Callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,wow  You re right! I didn t mean to do that  I guess once i gave up on boston men and changed my search location to nyc  something changed  Cuz on my signin page it still says boston
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,Umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wishes birthday thanks making birthday truly memorable,Thanks a lot for your wishes on my birthday  Thanks you for making my birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",aight hit get cash,Aight  I ll hit you up when I get some cash
ham,How would my ip address test that considering my computer isn't a minecraft server,would address test considering computer minecraft server,How would my ip address test that considering my computer isn t a minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better lying always one play jokes,I know! Grumpy old people  My mom was like you better not be lying  Then again I am always the one to play jokes
ham,Dont worry. I guess he's busy.,dont worry guess busy,Dont worry  I guess he s busy
ham,What is the plural of the noun research?,plural noun research,What is the plural of the noun research?
ham,Going for dinner.msg you after.,going dinner msg,Going for dinner msg you after
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,wif cos like try new things scared dun like mah cos said loud,I m ok wif it cos i like 2 try new things  But i scared u dun like mah  Cos u said not too loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,GENT! We are trying to contact you  Last weekends draw shows that you won a  1000 prize GUARANTEED  Call 09064012160  Claim Code K52  Valid 12hrs only  150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",openin sentence formal anyway fine juz eatin much puttin weight haha anythin special happened,Wa  ur openin sentence very formal    Anyway  i m fine too  juz tt i m eatin too much n puttin on weight   Haha    So anythin special happened?
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin said happy day boss felt special askd lunch lunch invited apartment went,As I entered my cabin my PA said     Happy B day Boss !!    I felt special  She askd me 4 lunch  After lunch she invited me to her apartment  We went there
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner specially selected receive 1000 holiday flights inc speak live operator claim 0871277810910p min,You are a winner U have been specially selected 2 receive  1000 or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810910p min  18
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday egg potato ratio tortilla needed,Goodo! Yes we must speak friday   egg potato ratio for tortilla needed!
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncle informed paying school directly pls buy food,Hmm   my uncle just informed me that he s paying the school directly  So pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points  To claim call 08719180248 Identifier Code  45239 Expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile awarded 2000 bonus caller prize final try contact call landline 09064019788 box42wr29c 150ppm,URGENT! Your Mobile No  was awarded  2000 Bonus Caller Prize on 5 9 03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C  150PPM
ham,here is my new address -apples&pairs&all that malarky,new address apples pairs malarky,here is my new address  apples pairs all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 7548 are selected to receive a $350 award  If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,going sao today done,I am going to sao mu today  Will be done only at 12
ham,Ü predict wat time ü'll finish buying?,predict wat time finish buying,predict wat time   ll finish buying?
ham,"Good stuff, will do.",good stuff,Good stuff  will do
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,Just so that you know yetunde hasn t sent money yet  I just sent her a text not to bother sending  So its over  you dont have to involve yourself in anything  I shouldn t have imposed anything on you in the first place so for that  i apologise
ham,Are you there in room.,room,Are you there in room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl hope well del bak long time give call sum time lucyxx,HEY GIRL  HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,K..k:)how much does it cost?,much cost,K  k  how much does it cost?
ham,I'm home.,home,I m home
ham,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrow pls accomodate,Dear  will call Tmorrow pls accomodate
ham,First answer my question.,first answer question,First answer my question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly win top sony dvd player know country algarve txt ansr 82277 tyrone,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277   1 50 SP Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get laid tonight want real dogging locations sent direct mob join largest dogging network txting gravel 69888 ec2a 31p msg 150p,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK s largest Dogging Network bt Txting GRAVEL to 69888! Nt  ec2a  31p msg 150p
ham,I only haf msn. It's yijue@hotmail.com,haf msn yijue hotmail com,I only haf msn  It s yijue hotmail com
ham,He is there. You call and meet him,call meet,He is there  You call and meet him
ham,No no. I will check all rooms befor activities,check rooms befor activities,No no  I will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msgs chat svc free hardcore services text 69988 get nothing must age verify network try,You ll not rcv any more msgs from the chat svc  For FREE Hardcore services text GO to  69988 If u get nothing u must Age Verify with yr network   try again
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got lazy type forgot lect saw pouch like nice,Got c    I lazy to type    I forgot   in lect    I saw a pouch but like not v nice
ham,"K, text me when you're on the way",text way,K  text me when you re on the way
ham,"Sir, Waiting for your mail.",sir waiting mail,Sir  Waiting for your mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni8,A swt thought   Nver get tired of doing little things 4 lovable persons    Coz  somtimes those little things occupy d biggest part in their Hearts   Gud ni8
ham,I know you are. Can you pls open the back?,know pls open back,I know you are  Can you pls open the back?
ham,Yes see ya not on the dot,yes see dot,Yes see ya not on the dot
ham,Whats the staff name who is taking class for us?,whats staff name taking class,Whats the staff name who is taking class for us?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg replied text randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end,FreeMsg Why haven t you replied to my text? I m Randy  sexy  female and live local  Luv to hear from u  Netcollex Ltd 08700621170150p per msg reply Stop to end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma call check life begin qatar pls pray hard,Ummma will call after check in our life will begin from qatar so pls pray very hard
ham,K..i deleted my contact that why?,deleted contact,K  i deleted my contact that why?
ham,Sindu got job in birla soft ..,sindu got job birla soft,Sindu got job in birla soft
ham,The wine is flowing and i'm i have nevering..,wine flowing nevering,The wine is flowing and i m i have nevering
