SMS,Cluster,Cluster_Label
gonna miss much,0,Not Spam
said right giggle saw would possibly first person2die nvq think much could,2,Not Spam
much better thanks lol,0,Not Spam
think two still need get cash def ready,2,Not Spam
huh also cannot many mistakes,2,Not Spam
good afternoon glorious anniversary day sweet hope finds happy content prey think send teasing kiss across sea coaxing images fond souveniers cougar pen,0,Not Spam
hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx,0,Not Spam
sam eachother meet house,2,Not Spam
cos shopping wif darren jus called ask wat present wan lor started guessing wif finally guessed darren lor,2,Not Spam
hello good week fancy drink something later,2,Not Spam
got meh,2,Not Spam
hmm stay like hour cos eye really sore,0,Not Spam
willing aptitude class,2,Not Spam
first time history need comfort luxury sold price india onion petrol beer shesil,2,Not Spam
bday real april,0,Not Spam
gr8 see message leaving congrats dear school wat plans,0,Not Spam
checking really miss seeing jeremiah great month,0,Not Spam
nope watching home going bored,2,Not Spam
sleeping feeling well,0,Not Spam
den weekdays got special price haiz cant eat liao cut nails oso muz wait finish drivin wat lunch still muz eat wat,2,Not Spam
great hear settling well happenin wit ola,0,Not Spam
born god said another idiot born god said competition knew one day two become freinds forever,0,Not Spam
hello handsome finding job lazy working towards getting back net mummy boytoy miss,0,Not Spam
write msg put dictionary mode cover screen hand press gently remove hand interesting,0,Not Spam
argh spotty anyway thing remember research province sterling problem free places looked,2,Not Spam
try making another butt,2,Not Spam
part initiate understand,2,Not Spam
life never much fun great came made truly special forget enjoy one gbp sms,0,Not Spam
answerin phone actually pretty reasonable hour sleepy,2,Not Spam
today song dedicated day song dedicate send valuable frnds first rply,0,Not Spam
yet like keep touch easiest way barcelona way house,2,Not Spam
dont know ask brother nothing problem thing told,0,Not Spam
okie,2,Not Spam
talking bout early morning almost noon,2,Not Spam
jane babes goin wrk feel ill lst nite foned already cover chuck,2,Not Spam
fetch yun fetch,2,Not Spam
wat,2,Not Spam
checking,2,Not Spam
asked anthony dad,2,Not Spam
staff placement training amrita college,2,Not Spam
poking man everyday teach canada abi saying,0,Not Spam
arm feeling weak cuz got shot another time,0,Not Spam
girl stay bed girl need recovery time rather pass fun cooped bed,0,Not Spam
seems like weird timing night want come smoke day shitstorm attributed always coming making everyone smoke,2,Not Spam
neva worry bout truth coz truth lead heart least unique person like deserve sleep tight morning,0,Not Spam
sleeping surfing,2,Not Spam
tuition 330 1120 1205 one mind,2,Not Spam
shoot docs waiting room,2,Not Spam
turning phone moms telling everyone cancer sister stop calling hurts talk put see get home love,0,Not Spam
late need get laptop,2,Not Spam
record one night,2,Not Spam
need coffee run tomo believe time week already,2,Not Spam
free sat rite wan watch infernal affairs wif darren mayb,2,Not Spam
love come took long leave zaher got words happy see sad left miss,0,Not Spam
gud ni8 dear slp well take care swt dreams muah,0,Not Spam
course tease know simply must see grins keep posted prey loving smile devouring kiss,0,Not Spam
nah dub still buff,2,Not Spam
finish meeting call,2,Not Spam
hoping get away langport still town tonight,2,Not Spam
opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0,Not Spam
yes sura sun lol,0,Not Spam
alright see bit,2,Not Spam
call meet,2,Not Spam
kinda first one gets twelve aah speak tomo,2,Not Spam
xmas new years eve tickets sale club day 10am till 8pm thurs fri sat night week selling fast,2,Not Spam
yeah get unlimited,2,Not Spam
searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,0,Not Spam
aight close still around alex place,2,Not Spam
send pic like,0,Not Spam
okay seen pick friday,2,Not Spam
forgot working today wanna chat things drop text free bored etc ring hope well nose essay,0,Not Spam
mean left early check cos working,2,Not Spam
jus reached home bathe first sis using net tell finishes,0,Not Spam
respond imma assume still asleep imma start calling shit,0,Not Spam
aight thanks comin,0,Not Spam
hiya last night naughty bought clothes little ready shopping tho kind time wanna meet,2,Not Spam
hey gorgeous man work mobile number good one babe squishy mwahs,0,Not Spam
meeting call later,2,Not Spam
anything lar going home dinner,2,Not Spam
win newest harry potter order phoenix book reply harry answer questions chance first among readers,0,Not Spam
lul gettin juicy gossip hospital two nurses talking fat gettin one thinks shes obese oyea,0,Not Spam
coming home dinner,2,Not Spam
pls speak wont ask anything friendship,0,Not Spam
probably around lot,2,Not Spam
spring coming early yay,0,Not Spam
never wanted tell short edge late,2,Not Spam
kanji dont eat anything heavy,2,Not Spam
friend got says upping order grams got get,2,Not Spam
wake already wat picking later rite taking sq825 reaching ard smth like dat check arrival time soon,2,Not Spam
get garden ready summer free selection summer bulbs seeds worth scotsman saturday stop go2 notxt,2,Not Spam
big belly laugh see tomo,0,Not Spam
nice day today love dearly,0,Not Spam
super msg nalla timing,2,Not Spam
please sen kind advice please come try,2,Not Spam
lol alright thinkin haha,2,Not Spam
dear umma called,0,Not Spam
howz persons story,0,Not Spam
went fast asleep dear take care,0,Not Spam
okay going sleep later,2,Not Spam
worry though understand important put place poorly thought punishment face worst thing ever happened brb gonna kill,0,Not Spam
food,2,Not Spam
fast approaching wish happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendship mother father teachers childrens day amp happy birthday happy ganesh festival happy dasara happy diwali happy christmas good mornings afternoons evenings nights rememberi first wishing raj,0,Not Spam
one slice one breadstick lol,2,Not Spam
lor early still project meeting,2,Not Spam
lousy run already come back half dead hee,2,Not Spam
hey tmr meet bugis 930,2,Not Spam
thanks reply today visa coming still buying gucci bags sister things easy uncle john also bills really need think make money later sha,0,Not Spam
give treat,0,Not Spam
said kiss kiss sound effects gorgeous man kind person needs smile brighten day,0,Not Spam
good evening sir salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,0,Not Spam
special today,2,Not Spam
bus going home,2,Not Spam
yep get program slacking,2,Not Spam
text creepy like think forgot,0,Not Spam
aslamalaikkum insha allah tohar beeen muht albi mufti mahfuuz meaning,0,Not Spam
aiyo please got time meh,2,Not Spam
mum went dentist,2,Not Spam
yeah thinking,2,Not Spam
storming msg wen lift phne say hello knw real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moral one 4get name person girlfrnd,0,Not Spam
mon okie lor haha best cheap food oso okie depends whether wana eat western chinese food den prefer,2,Not Spam
yeah probably swing roommate finishes girl,2,Not Spam
wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb,0,Not Spam
darlin way london smashed another driver big dent really missing xxx,0,Not Spam
fyi taking quick shower epsilon like min,2,Not Spam
nothin comes mind help buy hanger lor laptop heavy,2,Not Spam
cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,0,Not Spam
wife knew time murder exactly,0,Not Spam
ranjith cal drpd deeraj deepak 5min hold,2,Not Spam
thanks talk saturday dear cherish brother role model,0,Not Spam
friend studying warwick planned shopping concert tmw may canceled havn seen ages yeah get together sometime,2,Not Spam
hey hun onbus goin meet wants 2go meal donyt feel like cuz get last bus home hes sweet latelyxxx,0,Not Spam
know serving mean,2,Not Spam
havent got topic yet rite,2,Not Spam
well keep mind got enough gas one round trip barring sudden influx cash,2,Not Spam
oops,2,Not Spam
coming whatever want,2,Not Spam
uncles atlanta wish guys great semester,0,Not Spam
prabha soryda realy frm heart sory,0,Not Spam
slave want take pictures today bright light cell phone bright light,0,Not Spam
hey leave friday wait ask superior tell,2,Not Spam
latest news police station toilet stolen cops nothing,2,Not Spam
actually nvm got hella cash still ish,2,Not Spam
new address apples pairs malarky,2,Not Spam
today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz fault basically good,0,Not Spam
addie amp art get home,2,Not Spam
spoil bed well,0,Not Spam
thanx darlin cool thanx bday drinks nite 2morrow take care soon xxx,0,Not Spam
nope come online,2,Not Spam
guy kadeem selling since break know one guy paranoid fuck like selling without til late tonight,2,Not Spam
japanese proverb one none must indian version one let none leave finally kerala version one stop none make strike,0,Not Spam
way transport less problematic sat night way want ask join bday feel free need know definite nos booking fri,2,Not Spam
thats cool want please,2,Not Spam
probably still going stuff,2,Not Spam
great shoot big loads get ready,2,Not Spam
good lets thank god please complete drug lots water beautiful day,0,Not Spam
indeed way either,2,Not Spam
wan doctor,2,Not Spam
let math good,2,Not Spam
lor wan look,2,Not Spam
going bed prin,2,Not Spam
dont much image class,2,Not Spam
work week,2,Not Spam
diet ate many slices pizza yesterday ugh always diet,2,Not Spam
otherwise part time job tuition,2,Not Spam
love someone dont make love much love much dont want loved anyone except gud nit,0,Not Spam
yuou working getting mom find spot would work need,2,Not Spam
got watch meh work today,2,Not Spam
good morning princess happy new year,0,Not Spam
hex place talk explain,2,Not Spam
way home,2,Not Spam
definitely need module humanities dis sem izzit wan take modules 1st,2,Not Spam
christmas occasion celebrated reflection values desires affections amp traditions ideal christmas,0,Not Spam
yes good crickiting mind,0,Not Spam
want tell bad feel basically times text lately need drugs,0,Not Spam
hows pain dear smiling,0,Not Spam
sent,2,Not Spam
sian aft meeting supervisor got work liao working,2,Not Spam
got shitload diamonds though,2,Not Spam
still meeting dinner tonight,2,Not Spam
vote wherever heart guides,0,Not Spam
goodnight thangam really miss dear,0,Not Spam
aight grab something eat text back,2,Not Spam
still chance search hard get let try,2,Not Spam
lol yes add spice day,0,Not Spam
armand says get ass epsilon,2,Not Spam
sing think also important find someone female know place well preferably citizen also smart help navigate even things like choosing phone plan require guidance doubt ask especially girls,0,Not Spam
jay says double faggot,2,Not Spam
home also,2,Not Spam
need get,2,Not Spam
god asked forgiveness little child gave lovely reply wonderful fruit tree gives hurt stone good night,0,Not Spam
aight latest probably closer jay tyler two trips,2,Not Spam
eaten day sitting staring juicy pizza eat meds ruining life,0,Not Spam
make cry stuff happens top everything else pushes edge underdtand often cry sorry sorry life,0,Not Spam
gone get info dont know,2,Not Spam
nah straight bring bud drinks something actually little useful straight cash,2,Not Spam
hey tmr maybe meet yck,2,Not Spam
wife knew time murder exactly,0,Not Spam
gonna blake night might able get little early,2,Not Spam
tired special,2,Not Spam
hey happy birthday,0,Not Spam
evry emotion dsn hav words evry wish dsn hav prayrs smile world wit othrwise even drop tear dsn lik stay wit happy good morning keep smiling,0,Not Spam
tacos rajas burrito right,2,Not Spam
mom wants know,2,Not Spam
wat uniform get,2,Not Spam
sounds like could lot time spent chastity device boy grins take beatings like good dog going lounge nice long bath,0,Not Spam
yes care cause know,0,Not Spam
hey happen alright,2,Not Spam
haha awesome omw back,0,Not Spam
sad story man last week day wife wish parents forgot kids went work even colleagues wish,0,Not Spam
dare change ring,2,Not Spam
set let noe details later,2,Not Spam
cause old live high,2,Not Spam
becoz jan whn post ofice holiday post ofice got duffer,2,Not Spam
got fujitsu ibm toshiba got lot model say,2,Not Spam
think going finn come,2,Not Spam
nothing dinner,2,Not Spam
pls come quick cant bare,2,Not Spam
way send shade stuff wonderful,0,Not Spam
sorry bathroom sup,2,Not Spam
half years missed friendship,0,Not Spam
ugh long day exhausted want cuddle take nap,0,Not Spam
write msg put dictionary mode cover screen hand press gently remove hand interesting,0,Not Spam
know called,2,Not Spam
driving raining get caught mrt station lor,2,Not Spam
come,2,Not Spam
said would woke,2,Not Spam
rude campus,2,Not Spam
haha legs neck killing amigos hoping end night burn think could swing like hour,0,Not Spam
yes completely form clark also utter waste,2,Not Spam
lol yep yesterday already got fireplace another icon sitting,2,Not Spam
want meet 2morro,2,Not Spam
says quitting least5times day wudn take much notice nah mind gonna see want come taunton tonight tell,2,Not Spam
dear relieved westonzoyland going plan end,2,Not Spam
happy new year hope good semester,0,Not Spam
sorry leh din msg sad already lar watching still office,0,Not Spam
ujhhhhhhh computer shipped address sandiago parantella lane wtf poop,2,Not Spam
looking,2,Not Spam
shall ask one thing dont mistake,0,Not Spam
really still tonight babe,0,Not Spam
remain unconvinced elaborate test willpower,2,Not Spam
yup remb think book,2,Not Spam
noe ben going,2,Not Spam
sad story man last week day wife wish parents forgot kids went work even colleagues wish entered cabin said happy day boss felt special askd lunch lunch invited apartment went said mind bedroom minute sed sexy mood came minuts latr wid cake wife parents kidz friends colleagues screaming surprise waiting sofa naked,0,Not Spam
exhausted train morning much wine pie sleep well,0,Not Spam
wants know fuck,0,Not Spam
done,2,Not Spam
enjoy urself tmr,0,Not Spam
people see msgs think iam addicted msging wrong bcoz know iam addicted sweet friends bslvyl,0,Not Spam
tomorrow onwards eve work,2,Not Spam
guy gets used dumb realize,0,Not Spam
thanx time spent 2geva bin mint baby want xxxx,0,Not Spam
want see pretty pussy,0,Not Spam
meet corporation outside gap see mind working,2,Not Spam
jus telling dat leaving shanghai 21st instead haf time meet cya,2,Not Spam
yeah gang ready,2,Not Spam
way home went change batt watch shop bit lor,2,Not Spam
alex says,2,Not Spam
studying free next weekend,2,Not Spam
online transaction,2,Not Spam
phone weirdest auto correct,2,Not Spam
time come tomorrow,2,Not Spam
coming pick,2,Not Spam
list buyers,2,Not Spam
height shit situation guy throws luv letter gal falls brothers head whos gay,0,Not Spam
know people hit fuck yes,0,Not Spam
2mro coming gym machan goodnight,2,Not Spam
shall come get pickle,2,Not Spam
wont trying sort house,2,Not Spam
wish many many returns day happy birthday vikky,0,Not Spam
min later,2,Not Spam
wot,2,Not Spam
cuz ibored wanna study,2,Not Spam
cant wait see photos useful,2,Not Spam
played smash bros religiously,2,Not Spam
remember,2,Not Spam
superb thought grateful dont everything want means still opportunity happier tomorrow today,0,Not Spam
baby promise treat well bet take good care,0,Not Spam
unbelievable faglord,2,Not Spam
shant disturb anymore jia,2,Not Spam
yeah still give ride,2,Not Spam
aaooooright work,2,Not Spam
jus finish bathing,2,Not Spam
aiyar dun disturb liao thk lots aft cupboard come,2,Not Spam
maybe say find got card great escape wetherspoons,2,Not Spam
goodmorning today late 2hrs back pain,0,Not Spam
late love mum,0,Not Spam
lor,2,Not Spam
hmm dunno leh mayb bag goigng dat small jus anything except perfume smth dat keep,2,Not Spam
tell dear happen talking like alian,0,Not Spam
well watch shrek,2,Not Spam
good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,0,Not Spam
night night see tomorrow,0,Not Spam
jetton ave forgot,2,Not Spam
men like shorter ladies gaze eyes,0,Not Spam
look back building coat want get sick hurry home wear coat gym,2,Not Spam
well available washob nobbing last night ask nickey platt instead,2,Not Spam
want sent mesages today thats sorry hurts,0,Not Spam
send resume,2,Not Spam
shall call dear food,0,Not Spam
sucks hair free right,2,Not Spam
take exam march,2,Not Spam
dogbreath sounding like jan,0,Not Spam
much close heart away shattered plz stay,0,Not Spam
quite late lar ard anyway wun drivin,2,Not Spam
anyway going shopping cos sis done yet dun disturb liao,2,Not Spam
course maths one day one chapter one month finish,2,Not Spam
still working time also tried adding zeros savings checking,2,Not Spam
pub,2,Not Spam
currently scotland,2,Not Spam
get hep immunisation nigeria,2,Not Spam
dun wan watch infernal affair,2,Not Spam
sorry text amp drive coherently see twenty,2,Not Spam
electricity went fml,2,Not Spam
nice pubs near frankie bennys near warner cinema,2,Not Spam
watching house entertaining getting whole hugh laurie thing even stick indeed especially stick,2,Not Spam
nah goin wrks wot bout,2,Not Spam
got persons story,0,Not Spam
sent wife text buy tell relax get wkend,0,Not Spam
much cost,2,Not Spam
thats cool liked photos sexy,0,Not Spam
today accept day accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,0,Not Spam
fine imma get drink somethin want come find,2,Not Spam
gotta collect car lei,2,Not Spam
nope forgot show next week,2,Not Spam
tell thinking plus going stop runs,2,Not Spam
alright tyler got minor crisis home sooner thought asap,2,Not Spam
hello news job making wait fifth week yeah woozles weasels exeter still home,2,Not Spam
wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal,2,Not Spam
doin baby girl hope okay every time call ure phone miss get touch,0,Not Spam
omg make wedding chapel frontierville get good stuff,2,Not Spam
pick drop car problem,2,Not Spam
open door,2,Not Spam
wkend journey terrible good huge back log marking,2,Not Spam
yup anything lor dun wan,2,Not Spam
hello love went day alright think sweet send jolt heart remind love hear screamed across sea world hear ahmad hallaq loved owned possessive passionate kiss,0,Not Spam
okay well thanks clarification,2,Not Spam
called dad oredi,2,Not Spam
horrible hungry,2,Not Spam
bus come soon come otherwise tomorrow,2,Not Spam
sick still shopping,2,Not Spam
yar say got error,2,Not Spam
dun drive sch,2,Not Spam
yeah impression got,2,Not Spam
sure yet still trying get hold,2,Not Spam
hope said would text seen let gently please,0,Not Spam
yeah fact asked needed anything like hour ago much,2,Not Spam
still customer place,2,Not Spam
tell went bath,2,Not Spam
already got flaky parent snot supposed child job support parent ride age anyway supposed support hurt unintentional hurt nonetheless,0,Not Spam
masters buy cos sale,2,Not Spam
love try budget money better babe gary would freak knew,0,Not Spam
cool text head,0,Not Spam
jordan got voted last nite,2,Not Spam
east coast,2,Not Spam
really need shit tomorrow know awake like,2,Not Spam
gas station like block away house drive right since armenia ends swann take howard,2,Not Spam
sorry got things may pub later,2,Not Spam
themob hit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaper free,0,Not Spam
slaaaaave must summon time wish come anymore,2,Not Spam
great thanx lot,0,Not Spam
said anything wrong sorry,0,Not Spam
sent,2,Not Spam
went project centre,2,Not Spam
boys made fun today problem sent one message fun,0,Not Spam
cute thought friendship necessary share every secret close frnd watever shared true,0,Not Spam
pick,2,Not Spam
yes really great bhaji told kallis best cricketer sachin world tough get,0,Not Spam
lol trying make day little interesting,0,Not Spam
yup need jus wait rain stop,2,Not Spam
tick tick tick babe,2,Not Spam
haha mayb rite know well feeling liked someone lor faster find one gals group attached liao,0,Not Spam
lol come ideas,2,Not Spam
goodmorning today late decimal min,0,Not Spam
hard believe things like say lie think twice saying anything,0,Not Spam
mmmm cant wait lick,2,Not Spam
nope going home pump petrol lor like going rain soon,2,Not Spam
cheers card time year already,0,Not Spam
sure see come bit,2,Not Spam
remember,2,Not Spam
buy juz buy get lar,2,Not Spam
hey iouri gave number wylie ryan friend,0,Not Spam
taste fish curry,2,Not Spam
sad story man last week day wife wish parents forgot kids went work even colleagues wish,0,Not Spam
sorry msg yar lor poor thing one night tmr brand new room sleep,0,Not Spam
got got colours lor one colour quite light darker lor actually done styling hair,2,Not Spam
time fixes spelling sometimes gets completely diff word figure,2,Not Spam
let noe leave house,2,Not Spam
head straight,2,Not Spam
jason says cool pick place like hour,2,Not Spam
sure thing big man hockey elections longer hour though,2,Not Spam
meant calculation units school really expensive started practicing accent important decided 4years dental school nmde exam,2,Not Spam
thts god gift birds humans hav natural gift frm god,0,Not Spam
dear good morning,0,Not Spam
finally ready fyi,2,Not Spam
still otside come 2morrow maga,2,Not Spam
big chic common declare,2,Not Spam
hey gave photo registered driving tmr wanna meet yck,2,Not Spam
dunno juz askin cos got card got salon called hair sense tot one cut hair,2,Not Spam
tot outside cos darren say come shopping course nice wat jus went sim lim look mp3 player,2,Not Spam
dorothy kiefer com bank granite issues strong buy explosive pick members 300 nasdaq symbol cdgt per,2,Not Spam
uncle timi help clearing cars,2,Not Spam
gud mrng dear hav nice day,0,Not Spam
wylie update weed dealer carlos went freedom class lunsford,2,Not Spam
got looks scrumptious daddy wants eat night long,0,Not Spam
come din yup cut hair,2,Not Spam
usual iam fine happy amp well,0,Not Spam
remains bro amongst bros,0,Not Spam
feathery bowa something guys know,0,Not Spam
baby cruisin girl friend give call hour home thats alright fone fone love jenny xxx,0,Not Spam
dude sux snake got old raiden got buff,2,Not Spam
lol real told dad cancer,0,Not Spam
meanwhile shit suite xavier decided give seconds warning samantha coming playing jay guitar impress shit also think doug realizes live anymore,2,Not Spam
kind missed train cos asthma attack nxt one half driving sure park,2,Not Spam
lol would mom would fit tell whole family crazy terrible,0,Not Spam
monday next week give full gist,2,Not Spam
cool text way,0,Not Spam
nice sheffield tom air opinions categories used measure ethnicity next census busy transcribing,2,Not Spam
know lab goggles went,2,Not Spam
sweet may may meet carlos gauge patty interest,0,Not Spam
meeting later,2,Not Spam
fri okie lor goin drivin den shoppin,2,Not Spam
mostly like,2,Not Spam
buying today need meh,2,Not Spam
sorry meeting call later,2,Not Spam
aight chillin friend room text way,0,Not Spam
reason team budget available last buy unsold players base rate,2,Not Spam
yup,2,Not Spam
gettin bit arty collages well tryin way got roast min lovely shall enjoy,0,Not Spam
hey jazz power yoga hip hop yogasana,2,Not Spam
watching surya movie vijay movie pokkiri,2,Not Spam
icic lor den meet day,2,Not Spam
somewhere beneath pale moon light someone think dreams come true goodnite amp sweet dreams,0,Not Spam
ditto worry saying anything anymore like said last night whatever want peace,0,Not Spam
stop old man get build snowman snow angels snowball fights,0,Not Spam
home,2,Not Spam
filled tuth aight,2,Not Spam
thank princess want see nice juicy booty,0,Not Spam
bored come home,0,Not Spam
crucify told earlier,2,Not Spam
tunde wishing great day abiola,0,Not Spam
knw dis,2,Not Spam
love wine dine lady,0,Not Spam
everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots shows see guess like things must exist like rain hail mist time done become one,0,Not Spam
saturday sunday holiday difficult,2,Not Spam
know got adsense approved,2,Not Spam
anything lor toa payoh got place walk meh,2,Not Spam
also fine complete course,2,Not Spam
haha awesome couple times coming,2,Not Spam
wont touch permission,2,Not Spam
great safe trip dont panic surrender,2,Not Spam
yes ammae life takes lot turns sit try hold steering,0,Not Spam
one slow poo,2,Not Spam
tomarrow final hearing laptop case cant,2,Not Spam
meeting nite tmr,2,Not Spam
think get away trek long family town sorry,2,Not Spam
text way cup stop work bus,2,Not Spam
give back proof wont allow work come home within days,2,Not Spam
thk dun haf hint forum already lor cos told ron darren going tell shuhui,2,Not Spam
never blame day life good days give happiness bad days give experience essential life gods blessings good morning,0,Not Spam
believe true incredible txts reply learn truly amazing things blow mind o2fwd 18p txt,0,Not Spam
current food alone also,2,Not Spam
lol grins babe thanks thinking,0,Not Spam
time wrkin,2,Not Spam
wanna gym,2,Not Spam
alright thanks advice enjoy night try get sleep,0,Not Spam
think waste,2,Not Spam
hey booked pilates yoga lesson already haha,2,Not Spam
gud ni8 dear slp well take care swt dreams muah,0,Not Spam
night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,0,Not Spam
good afternoon boytoy goes walking day get police abstract still wake miss babe,0,Not Spam
babe chloe smashed saturday night great weekend missing visionsms com text stop stop 150p text,0,Not Spam
much torch 9ja,2,Not Spam
fyi back parents place south tampa might need deal somewhere else,2,Not Spam
yes please swimming,2,Not Spam
whenevr sad whenevr gray remembr listn watevr wanna say jus walk wid little amp promise bring back smile,0,Not Spam
hey fancy meetin cha hav lil beverage txt ring meet l8r quite tired got pist love pete,0,Not Spam
ill call evening ill ideas,2,Not Spam
need login anything,2,Not Spam
gr8 handle victoria island traffic plus album due,2,Not Spam
brother transfered,2,Not Spam
langport sorry probably bed 9pm sucks ill xmas go2sri lanka,2,Not Spam
aight pick open tonight,2,Not Spam
sorry man stash ran dry last night pick sunday,2,Not Spam
hey dont watch men lunch haha,2,Not Spam
oooh got plenty,2,Not Spam
get opinion something first,2,Not Spam
buzz hey love think hope day goes well sleep miss babe long moment together loving smile,0,Not Spam
lmao nice,2,Not Spam
home come within min,2,Not Spam
anything lor coming,2,Not Spam
celebrate day else,0,Not Spam
wat happened cruise thing,2,Not Spam
solihull want anything,2,Not Spam
reach home minutes,2,Not Spam
ring comes guys costumes gift future yowifes hint hint,0,Not Spam
trying figure suppose see couple different people week said get together set dates,2,Not Spam
apparently bffs carly quick,2,Not Spam
get paid outstanding one commercial hasbro august made jump many hoops get paid still,2,Not Spam
wot thout gonna call txt bak luv,0,Not Spam
wanted ask wait finish lect cos lect finishes hour anyway,2,Not Spam
mins stop somewhere first,2,Not Spam
please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle,2,Not Spam
somewhere fredericksburg,2,Not Spam
need tell anything going sleep good night,0,Not Spam
find way include details,2,Not Spam
new years eve went party boyfriend hey,0,Not Spam
men always needs beautiful intelligent caring loving adjustable cooperative wife law allows one wife,0,Not Spam
good evening ttyl,0,Not Spam
got seventeen pounds seven hundred hope,2,Not Spam
creepy crazy,0,Not Spam
take care,0,Not Spam
daily text favour time,0,Not Spam
goodmorning today late 1hr,0,Not Spam
erm thought contract ran the4th october,2,Not Spam
love one law make happy person love way friendship one law never make friend feel alone alive gud night,0,Not Spam
fyi gonna call sporadically starting like doin shit,2,Not Spam
ummmmmaah many many happy returns day dear sweet heart happy birthday dear,0,Not Spam
log wat sdryb8i,2,Not Spam
probably tomorrow even later tonight something going,2,Not Spam
hungry buy food good lei mum yun dun wan juz buy little bit,2,Not Spam
one teach ship cars,2,Not Spam
hey sat going intro pilates kickboxing,2,Not Spam
great hope using connections mode men also cos never know old friends lead today,0,Not Spam
yup lunch buffet eat already,2,Not Spam
jay says put,2,Not Spam
heard anything answering texts guessing flaked said fantastic,0,Not Spam
still grinder,2,Not Spam
morning,0,Not Spam
know mood today,0,Not Spam
first strike red one bird antelope begin toplay fieldof selfindependence believe flower contention grow random,0,Not Spam
enjoy watching playing football basketball anything outdoors,2,Not Spam
dude ive seeing lotta corvettes lately,2,Not Spam
purity friendship two smiling reading forwarded message smiling seeing name gud evng,0,Not Spam
callin say take care bruv,0,Not Spam
guess dropped,2,Not Spam
compliments away system side,0,Not Spam
single line big meaning miss anything best life miss best life anything gud nyt,0,Not Spam
thanx nite,0,Not Spam
hello got andrews boy long way cold keep posted,0,Not Spam
dude realy mising today,0,Not Spam
guess could good excuse lol,2,Not Spam
package programs well,2,Not Spam
aiyah wat long got improve already wat,0,Not Spam
thats cool cum,0,Not Spam
honeymoon outfit,0,Not Spam
