SMS,Cluster,Cluster_Label
wake morning,0,Emotional Support
told asking wats matter,0,Emotional Support
wishing family merry mas happy new year advance,0,Emotional Support
pple marry lovers becz hav gud undrstndng dat avoids problems sent dis wil get gud news friday person like tomorrow best day life dont break chain break suffer send frnds mins whn read,0,Emotional Support
yesterday true true,0,Emotional Support
dude longer pisces aquarius,0,Emotional Support
aiyo poor thing dun wan eat bathe already,0,Emotional Support
thing good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worried,0,Emotional Support
lay man let know missed thought great day send bimbo ugo numbers ill appreciate safe,0,Emotional Support
valentine game send dis msg friends answers someone really loves ques colour suits best rply,0,Emotional Support
aight thanks comin,0,Emotional Support
living simple loving also simple laughing simple winning tooo simple simple difficult,0,Emotional Support
lovely night wake see message hope smile knowing great morning,0,Emotional Support
hello handsome finding job lazy working towards getting back net mummy boytoy miss,0,Emotional Support
hope settled new school year wishin gr8 day,0,Emotional Support
imagine life without see fast searching worry always disturb goodnoon,0,Emotional Support
wish many many returns day happy birthday vikky,0,Emotional Support
hey glad better hear treated urself digi cam good 9pm fab new year coupla wks,0,Emotional Support
freemsg fav xmas tones reply real,0,Emotional Support
many times lose best ones bcoz,0,Emotional Support
happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles 1st,0,Emotional Support
gr8 see message leaving congrats dear school wat plans,0,Emotional Support
gentle baby soon taking inches deep inside tight pussy,0,Emotional Support
lol please actually send pic right wanna see pose comb hair dryer something,0,Emotional Support
shanil rakhesh thanks exchanged uncut diamond stuff leaving back excellent service dino prem,0,Emotional Support
thanks keep mind,0,Emotional Support
howz persons story,0,Emotional Support
darlin way london smashed another driver big dent really missing xxx,0,Emotional Support
cheers tex mecause werebored yeah okden hunny uin sat sound likeyour havin gr8fun keep updat countinlots loveme xxxxx,0,Emotional Support
tell pain,0,Emotional Support
strange watching 2nd one bed sweet dreams miss,0,Emotional Support
hey chief give bell get need talk royal visit 1st june,0,Emotional Support
stupid always sending like believe message pandy mental,0,Emotional Support
hello yeah got bath need hair come done yeah,0,Emotional Support
come takes little time child afraid dark become teenager wants stay night,0,Emotional Support
sorry free,0,Emotional Support
tired slept well past nights,0,Emotional Support
welcome caught using broken english,0,Emotional Support
hey almost forgot happy day babe love,0,Emotional Support
dear reache room,0,Emotional Support
also tell said happy birthday,0,Emotional Support
say slowly god love amp need clean heart blood send ten special people amp miracle tomorrow pls pls,0,Emotional Support
hey told name gautham,0,Emotional Support
catch bus frying egg make tea eating mom left dinner feel love,0,Emotional Support
speak feel words better silence gud mrng,0,Emotional Support
wish think gonna snow much flurries usually get melt hit ground eek snow since even born,0,Emotional Support
like shock leh cos telling shuhui like telling leona also like dat almost know liao got ask abt reaction lor,0,Emotional Support
thanks fills complete calm reassurance,0,Emotional Support
yes know cheesy songs frosty snowman,0,Emotional Support
describe lucky actually awake noon,0,Emotional Support
god love limit god grace measure god power boundaries may god endless blessings always life gud ni8,0,Emotional Support
cool cool chikku chikku,0,Emotional Support
well leave class babe never came back hope nice sleep love,0,Emotional Support
missed havent much bit bored holiday want bak college sad isnt,0,Emotional Support
babes think got brolly left english wil bring 2mrw luv franxx,0,Emotional Support
miss,0,Emotional Support
right think,0,Emotional Support
shit babe thasa bit messed yeh shudvetold urgran know neway illspeak u2moro wen asleep,0,Emotional Support
gosh pain spose better come,0,Emotional Support
good good job like entrepreneurs,0,Emotional Support
wat makes people dearer happiness dat feel meet pain feel miss dem,0,Emotional Support
enjoy life good night,0,Emotional Support
joy father john john joy father ans ths hav tis ias question try answer,0,Emotional Support
great trip india bring light everyone project everyone lucky see smile bye abiola,0,Emotional Support
come home nice meet chat,0,Emotional Support
stop wondering wow ever going stop ing whenever want mine laughs,0,Emotional Support
sorry able get see morning,0,Emotional Support
reassuring crazy world,0,Emotional Support
dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing,0,Emotional Support
happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks,0,Emotional Support
company good environment terrific food really nice,0,Emotional Support
pain come worse time,0,Emotional Support
heart empty without love mind empty without wisdom eyes empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams,0,Emotional Support
opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0,Emotional Support
great princess thinking,0,Emotional Support
lol know awesome phone could click delete right want,0,Emotional Support
message great doctor india drink appy fizz contains cancer causing age,0,Emotional Support
enjoying semester take care brother,0,Emotional Support
poor girl one day lmao,0,Emotional Support
piss talking someone realise point read backwards,0,Emotional Support
like cheap happy splash wine makes feel better,0,Emotional Support
dont give monkeys wot think certainly mind friend mine sleep wiv wud annoyin,0,Emotional Support
congratulations ore owo enjoy wish many happy moments fro wherever,0,Emotional Support
boy love grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli mutai eerulli kodthini grl love kano,0,Emotional Support
take post come must 1000s texts happy reading one wiv hello caroline end favourite bless,0,Emotional Support
well causes mutations sunscreen like essential thesedays,0,Emotional Support
gorgeous keep pix cumming thank,0,Emotional Support
know friend already told,0,Emotional Support
good thinking,0,Emotional Support
hope result consistently intelligent kind start asking practicum links keep ears open best ttyl,0,Emotional Support
thanks understanding trying tell sura,0,Emotional Support
problem spending lot quality time together,0,Emotional Support
relaxing time ever get 7am every day party good night get home tomorrow 5ish,0,Emotional Support
good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,0,Emotional Support
nan sonathaya soladha boss,0,Emotional Support
yeah got apologetic fallen actin like spoilt child got caught till badly cheers,0,Emotional Support
gud mrng dear hav nice day,0,Emotional Support
goodmorning today late 2hrs back pain,0,Emotional Support
watever relation built dis world thing remains atlast lonlines lotz lot memories feeling,0,Emotional Support
yes small kid boost secret energy,0,Emotional Support
allo braved buses taken trains triumphed mean ham jolly good rest week,0,Emotional Support
back good journey let know need receipts shall tell like pendent,0,Emotional Support
sweet well princess please tell likes dislikes bed,0,Emotional Support
come wenever lik come also tel vikky come getting free time,0,Emotional Support
aiyar poor thing give support jia think,0,Emotional Support
jade paul txt remember barmed want talk txt,0,Emotional Support
thought praps meant another one goodo look tomorrow,0,Emotional Support
realy soz imat mums 2nite 2moro,0,Emotional Support
gonna death gonna leave note says robs fault avenge,0,Emotional Support
thank way lost,0,Emotional Support
hello love goes day wish well fine babe hope find job prospects miss boytoy teasing kiss,0,Emotional Support
good good billy mates gone jogging enjoy concert,0,Emotional Support
raji pls favour pls convey birthday wishes nimya pls today birthday,0,Emotional Support
actually deleted old website blogging magicalsongs blogspot com,0,Emotional Support
entirely sure understood text hey weekend,0,Emotional Support
uncles atlanta wish guys great semester,0,Emotional Support
happy new years melody,0,Emotional Support
hello bored inever thought get bored tell something exciting happened anything,0,Emotional Support
sir good morning hope good weekend called let know able raise dad however said would make rest available mid feb amount still quite short hoping would help good day abiola,0,Emotional Support
love,0,Emotional Support
send naughty pix,0,Emotional Support
valentine game send dis msg friends answers someone really loves ques colour suits best,0,Emotional Support
noooooooo please last thing need stress life fair,0,Emotional Support
gud ni8 swt drms take care,0,Emotional Support
hey missed last night phone charge smiles meeting friend shortly,0,Emotional Support
neither sterm voice studying fine sure thing resolved tho anyway fab hols,0,Emotional Support
thank wonderful,0,Emotional Support
happy new year princess,0,Emotional Support
engalnd telly decided let watch mia elliot kissing damn,0,Emotional Support
smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves see smiling,0,Emotional Support
anybody number still thought tactful way ask alex,0,Emotional Support
husband,0,Emotional Support
wen miss someone person definitely special person special miss keep touch gdeve,0,Emotional Support
drama pls enough family struggling hot sun strange place reason ego going invited actually necessity wait serious reppurcussions,0,Emotional Support
hello darling today would love chat dont tell look like sexy,0,Emotional Support
thing interesting good birthday wrking nxt started uni today,0,Emotional Support
cool luv tired cause doin loads planning got social services inspection nursery take care spk,0,Emotional Support
response one powerful weapon occupy place others heart always give response cares gud night swt dreams take care,0,Emotional Support
hows pain dear smiling,0,Emotional Support
think rule tamilnadu tough people,0,Emotional Support
hope much fun without see tomorrow love jess,0,Emotional Support
always even spirit get soon trying sure need,0,Emotional Support
probably much fun get message thought txt cos bored james farting night,0,Emotional Support
know need get hotel got invitation apologise cali sweet come english bloke weddin,0,Emotional Support
want send virtual hug need one,0,Emotional Support
lag sad part keep touch thanks skype,0,Emotional Support
going nothing great bye,0,Emotional Support
pain urination thing else,0,Emotional Support
dare stupid wont tell anything hear wont talk,0,Emotional Support
thanks lovely wisheds rock,0,Emotional Support
spring coming early yay,0,Emotional Support
well told others marry,0,Emotional Support
felt conveying reason ese,0,Emotional Support
hey darlin pick college tell wen love pete,0,Emotional Support
skint fancied bevies waz gona meet othrs spoon jst bin watchng planet earth sofa comfey dont make hav night,0,Emotional Support
thanks talk saturday dear cherish brother role model,0,Emotional Support
know grumpy old people mom like better lying always one play jokes,0,Emotional Support
nothing anyway give treat,0,Emotional Support
meh thgt clash really dun mind dun seen lost weight gee,0,Emotional Support
ran younger man make pretty babies together,0,Emotional Support
dnt worry use ice pieces cloth pack also take tablets,0,Emotional Support
good think could send pix would love see top bottom,0,Emotional Support
thankyou much call appreciate care,0,Emotional Support
pls speak wont ask anything friendship,0,Emotional Support
cool breeze bright sun fresh flower twittering birds waiting wish goodmorning amp nice day,0,Emotional Support
haiyoh maybe hamster jealous million,0,Emotional Support
lol boo hoping laugh,0,Emotional Support
happy babe woo hoo party dude,0,Emotional Support
prabha soryda realy frm heart sory,0,Emotional Support
whore unbelievable,0,Emotional Support
well boy glad wasted night applebees nothing,0,Emotional Support
thesmszone com lets send free anonymous masked messages sending message see potential abuse,0,Emotional Support
hope arnt pissed would really like see tomorrow love xxxxxxxxxxxxxx,0,Emotional Support
seriously tell exact words right,0,Emotional Support
know thing wrong everyso often panicks starts goin bout bein good enough,0,Emotional Support
honeybee said sweetest world god laughed amp said wait havnt met person reading msg moral even god crack jokes,0,Emotional Support
height shit situation guy throws luv letter gal falls brothers head whos gay,0,Emotional Support
get step outta way congrats,0,Emotional Support
good morning dear shijutta great amp successful day,0,Emotional Support
nice day today love dearly,0,Emotional Support
big belly laugh see tomo,0,Emotional Support
know people hit fuck yes,0,Emotional Support
nice day dear,0,Emotional Support
happy birthday dear lots love rakhesh nri,0,Emotional Support
leaving qatar tonite search opportunity went fast pls add prayers dear rakhesh,0,Emotional Support
god created gap btwn fingers dat sum1 vry special fill gaps holding hands plz dont ask created much gap legs,0,Emotional Support
lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend,0,Emotional Support
friendship game play word say start march ends may tomorrow yesterday today,0,Emotional Support
think thanks see tomo,0,Emotional Support
welcome please reply age gender begin 24m,0,Emotional Support
ahhh work vaguely remember feel like lol,0,Emotional Support
take care sleep well need learn change life need get convinced wait conversations get convinced time family many senses respect overemphasise role life,0,Emotional Support
rose needs water season needs change poet needs imagination phone needs sms need lovely frndship forever,0,Emotional Support
seen facebook huh lol,0,Emotional Support
missing pray inshah allah,0,Emotional Support
dont search love let love find thats called falling love bcoz dont force fall know smeone hold bslvyl,0,Emotional Support
good afternoon love goes day sleep hope well boytoy think,0,Emotional Support
hey feeling better hopeso hunny amnow feelin ill ithink may tonsolitusaswell damn iam layin bedreal bored lotsof luv xxxx,0,Emotional Support
sea lays rock rock envelope envelope paper paper words,0,Emotional Support
yes glad made,0,Emotional Support
okie thanx,0,Emotional Support
hey hun onbus goin meet wants 2go meal donyt feel like cuz get last bus home hes sweet latelyxxx,0,Emotional Support
boy late home father power frndship,0,Emotional Support
lol right diet everyday cheat anyway meant fatty,0,Emotional Support
wake,0,Emotional Support
ummmmmaah many many happy returns day dear sweet heart happy birthday dear,0,Emotional Support
sounds great home,0,Emotional Support
dun cut short leh dun like failed quite sad,0,Emotional Support
sez hows arab boy hope good give love evry1 love eshxxxxxxxxxxx,0,Emotional Support
dont know ask brother nothing problem thing told,0,Emotional Support
hey babe far spun spk dead wrld sleeping sofa day cool nytho fonin hon call 2mwen frmcloud,0,Emotional Support
world suffers lot violence bad people silence good people gud night,0,Emotional Support
hello love went day alright think sweet send jolt heart remind love hear screamed across sea world hear ahmad hallaq loved owned possessive passionate kiss,0,Emotional Support
late wish,0,Emotional Support
pls give food preferably pap slowly loads sugar take hour give water slowly,0,Emotional Support
yes princess want please every night wish command,0,Emotional Support
working eyes philosophy text later bit free chat,0,Emotional Support
pls pls drink plenty plenty water,0,Emotional Support
rofl betta invest anti aging products,0,Emotional Support
fuuuuck need stop sleepin sup,0,Emotional Support
find sitter kaitlyn sick slept day yesterday,0,Emotional Support
good night dear sleepwell amp take care,0,Emotional Support
freezing home yet remember kiss mom morning love think missing yet,0,Emotional Support
sunny california weather cool,0,Emotional Support
thats cool princess cover face hot sticky cum,0,Emotional Support
thanks loving rock,0,Emotional Support
know god created gap fingers one made comes amp fills gaps holding hand love,0,Emotional Support
yay better told girls either,0,Emotional Support
really sorry lit hair fire,0,Emotional Support
loverboy keeps coming queen hmmm ache speak miss desparately,0,Emotional Support
already sabarish asked,0,Emotional Support
good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,0,Emotional Support
symptoms love like listening songs get stopped see name beloved get angry,0,Emotional Support
yes sura sun lol,0,Emotional Support
wish holding tightly making see important much mean much need life,0,Emotional Support
thanks temales wonderful thank great week,0,Emotional Support
read shame tell takes runs blame ever really ever long time,0,Emotional Support
poking man everyday teach canada abi saying,0,Emotional Support
enjoy showers possessiveness poured loved ones bcoz world lies golden gift loved truly,0,Emotional Support
hey babe doin wot 2nite love annie,0,Emotional Support
lovely night xxx,0,Emotional Support
sore throat scratches talk,0,Emotional Support
life spend someone lifetime may meaningless moments spent someone really love means life,0,Emotional Support
thank god bed,0,Emotional Support
hows favourite person today workin hard sleep last nite nearly rang,0,Emotional Support
forgot working today wanna chat things drop text free bored etc ring hope well nose essay,0,Emotional Support
word checkmate chess comes persian phrase shah maat means king dead goodmorning good day,0,Emotional Support
every night take warm bath drink cup milk see work magic still need loose weight know,0,Emotional Support
good evening ttyl,0,Emotional Support
congrats great wanted tell tell score cos might make relax motivating thanks sharing,0,Emotional Support
hey sweet wondering moment might come want send file someone yahoo connection sucks remember set page download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss,0,Emotional Support
also sorta blown couple times recently rather text blue looking weed,0,Emotional Support
funeral home audrey dad,0,Emotional Support
sea lays rock rock envelope envelope paper paper words,0,Emotional Support
short cute good person dont try prove gud mrng,0,Emotional Support
send pic like,0,Emotional Support
missed call cause yelling scrappy miss wait come home lonely today,0,Emotional Support
thats late well good night give call tomorrow iam going sleep night night,0,Emotional Support
life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,0,Emotional Support
oga left phone home saw messages hope good great weekend,0,Emotional Support
keep problems heart coz nobody fight amp fight self amp win battle vivekanand ham yeah give call got minute ham babe uawake feellikw shit justfound via aletter thatmum gotmarried 4thnov behind ourbacks fuckinnice selfish deviousbitch anyway call,0,Emotional Support
head dey swell thanks making day,0,Emotional Support
aathi dear,0,Emotional Support
bognor splendid time year,0,Emotional Support
means could keep words,0,Emotional Support
nice line said broken heart plz cum times infront wise trust good,0,Emotional Support
hahaha use brain dear,0,Emotional Support
joy father john john name joy father mandan,0,Emotional Support
lol got friend dog,0,Emotional Support
honey sweetheart darling sexy buns sugar plum loverboy miss boytoy smacks ass gym,0,Emotional Support
would smoking help work difficult time,0,Emotional Support
well know mean texting,0,Emotional Support
good day mine really busy much tomorrow night,0,Emotional Support
yes texted pshew missing much,0,Emotional Support
actually first time went bed long spoke woke night,0,Emotional Support
keep safe need miss already envy everyone see real life,0,Emotional Support
love give massages use lots baby oil fave position,0,Emotional Support
real baby want bring inner tigress,0,Emotional Support
come life brought sun shiny warming heart putting constant smile face making feel loved cared,0,Emotional Support
come home,0,Emotional Support
hello peach cake tasts lush,0,Emotional Support
money money aint thing sha,0,Emotional Support
hey going sea view couple gays mean games give bell finish,0,Emotional Support
respond imma assume still asleep imma start calling shit,0,Emotional Support
awesome question cute answer someone asked boy life smiled amp answered fine gudnite,0,Emotional Support
know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop,0,Emotional Support
weightloss girl friends make loads money ebay something give thanks god,0,Emotional Support
happy new year family may new year bring happiness stability tranquility vibrant colourful life,0,Emotional Support
jus reached home bathe first sis using net tell finishes,0,Emotional Support
neva mind,0,Emotional Support
daaaaa home babe still,0,Emotional Support
edison rightly said fool ask questions wise man answer know speechless viva gnt,0,Emotional Support
hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,0,Emotional Support
tell happen dont behave like need say,0,Emotional Support
wat would like birthday,0,Emotional Support
happy new year man,0,Emotional Support
dunno lei neva say,0,Emotional Support
lol ill try send warned sprint dead slow prolly get tomorrow,0,Emotional Support
make girl happy difficult make girls happy need friend companion lover chef good listener organizer good boyfriend clean sympathetic athletic warm courageous determined true dependable intelligent psychologist pest exterminator psychiatrist healer stylist driver aaniye pudunga venaam,0,Emotional Support
fucking chickened messaged would late woould buzz hear word,0,Emotional Support
hello madam,0,Emotional Support
gain rights wife dont demand trying husband lets see,0,Emotional Support
way 2day normal way real unique hope know rest mylife hope find wot lost,0,Emotional Support
good words words may leave dismay many times,0,Emotional Support
thanks looking really appreciate,0,Emotional Support
boy late home father power frndship,0,Emotional Support
sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,0,Emotional Support
actually send reminder today wonderful weekend,0,Emotional Support
geeeee love much barely stand,0,Emotional Support
win newest harry potter order phoenix book reply harry answer questions chance first among readers,0,Emotional Support
askd knw tht,0,Emotional Support
howz persons story,0,Emotional Support
lul gettin juicy gossip hospital two nurses talking fat gettin one thinks shes obese oyea,0,Emotional Support
good afternoon love good see words get smart move slave smiles drink coffee await,0,Emotional Support
dear umma called,0,Emotional Support
thank generally date brothas,0,Emotional Support
awake,0,Emotional Support
usually body takes care buy making sure doesnt progress pls continue talk saturday,0,Emotional Support
going sleep hope meet,0,Emotional Support
hello boytoy geeee missing today like send remind thinking loved loving kiss,0,Emotional Support
still pretty weak today bad day,0,Emotional Support
night sweet sleep well see exorcism emily rose may never sleep hugs snogs,0,Emotional Support
could read love answered,0,Emotional Support
win newest harry potter order phoenix book reply harry answer questions chance first among readers,0,Emotional Support
storming msg wen lift phne say hello knw real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moral one 4get name person girlfrnd,0,Emotional Support
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish merry xmas,0,Emotional Support
got persons story,0,Emotional Support
tell friends plan valentines day url,0,Emotional Support
merry christmas babe love kisses,0,Emotional Support
better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh,0,Emotional Support
stop knowing well,0,Emotional Support
love start attraction feel need every time around first thing comes thoughts would start day end every time dream love every breath name life happen around life named would cry give happiness take sorrows ready fight anyone love craziest things love proove anyone girl beautiful lady whole planet always singing praises love start making chicken curry end makiing sambar life beautiful get every morning thank god day would like say lot tell later,0,Emotional Support
feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day,0,Emotional Support
night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng,0,Emotional Support
searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,0,Emotional Support
dear,0,Emotional Support
cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,0,Emotional Support
wife knew time murder exactly,0,Emotional Support
joy father john john name joy father mandan,0,Emotional Support
nope meanwhile talk say make greet,0,Emotional Support
wonders world 7th 6th style 5th smile 4th personality 3rd nature 2nd sms 1st lovely friendship good morning dear,0,Emotional Support
wonderful okors great month cherish guys wish well day mojibiola,0,Emotional Support
good morning pookie pie lol hope wake,0,Emotional Support
msgs time pass silently say thinking right also making think least moment swt drms shesil,0,Emotional Support
hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,0,Emotional Support
yes princess toledo,0,Emotional Support
free give otherwise nalla adi entey nattil kittum,0,Emotional Support
good morning headache anyone,0,Emotional Support
tick tick tick could die loneliness know pouts stomps feet need,0,Emotional Support
know dad back,0,Emotional Support
say fantastic chance anything need bigger life lift losing live think would first person die,0,Emotional Support
merry christmas annie,0,Emotional Support
hey doc pls want get nice shirt hubby nice fiting ones budget help pls load card abi keep posted luv,0,Emotional Support
beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night,0,Emotional Support
prasanth ettans mother passed away last night pray family,0,Emotional Support
realize years thousands old ladies running around tattoos,0,Emotional Support
gud mrng dear hav nice day,0,Emotional Support
science tells chocolate melt sunlight please walk sunlight bcoz want loss sweet friend,0,Emotional Support
hey babe saw came online second disappeared happened,0,Emotional Support
driving even many reasons called bbd thts chikku abt dvg cold heard tht vinobanagar violence condition problem,0,Emotional Support
good weekend,0,Emotional Support
stupid say challenge god dont think write instead respond immed,0,Emotional Support
sad story man last week day wife wish parents forgot kids went work even colleagues wish,0,Emotional Support
going thru different feeling wavering decisions coping individual time heal everything believe,0,Emotional Support
let snow let snow kind weather brings ppl together friendships grow,0,Emotional Support
sad story man last week day wife wish parents forgot kids went work even colleagues wish,0,Emotional Support
haha awesome omw back,0,Emotional Support
moment day value morning brings hope afternoon brings faith evening brings luv night brings rest wish find today good morning,0,Emotional Support
sorry bout last nite fault spouse pmt sumthin 4give think shldxxxx,0,Emotional Support
uncle abbey happy new year abiola,0,Emotional Support
thought meant mary jane,0,Emotional Support
yar quite clever aft many guesses lor got ask bring thk darren willing aiya thk leona still attach wat,0,Emotional Support
eaten day sitting staring juicy pizza eat meds ruining life,0,Emotional Support
lol yes add spice day,0,Emotional Support
sad story man last week day wife wish parents forgot kids went work even colleagues wish entered cabin said happy day boss felt special askd lunch lunch invited apartment went said mind bedroom minute sed sexy mood came minuts latr wid cake wife parents kidz friends colleagues screaming surprise waiting sofa naked,0,Emotional Support
noe wana pei oso rite lor days den,0,Emotional Support
hey angry reply,0,Emotional Support
thinkin someone good drugs,0,Emotional Support
add really care least get dude fuck hey money want,0,Emotional Support
nan yalrigu heltini iyo kothi chikku shared many things wit far told body even uttered word abt trusting much tell others plz nxt time dont use words chikku,0,Emotional Support
well glad find totally disagreeable lol,0,Emotional Support
goodnight thangam really miss dear,0,Emotional Support
lmao know well,0,Emotional Support
zoe hit fucking shitin defo try hardest cum 2morow luv millions lekdog,0,Emotional Support
vote wherever heart guides,0,Emotional Support
first time dhoni rocks,0,Emotional Support
hellogorgeous hows fone charge lst nitw wen texd hopeu nice wkend sure lookin 4ward 2mrw luv jaz,0,Emotional Support
good morning dear great amp successful day,0,Emotional Support
hope text meets smiling let text give reason smile beautiful day,0,Emotional Support
good afternoon love goes day woke early online waiting hmmm italian boy online see grins,0,Emotional Support
bit smile hppnss drop tear sorrow part heart life heart like mine wil care forevr goodfriend,0,Emotional Support
hmm ill think forgiven,0,Emotional Support
forgot ask smth card present lei want write smth sign,0,Emotional Support
wow healthy old airport lor cant thk anything else bathing dog later,0,Emotional Support
fine thanks,0,Emotional Support
hard true much show amp express love someone much hurt leave get seperated evening,0,Emotional Support
called hoping l8r malaria know miss guys miss bani big pls give love especially great day,0,Emotional Support
beautiful girl ive ever seen baby come common room,0,Emotional Support
ahhhh woken bad dream tho dont like right didnt know anything comedy night guess,0,Emotional Support
bruv hope great break rewarding semester,0,Emotional Support
omg joanna freaking looked thru friends find photos asking stuff myspace even logged like year,0,Emotional Support
evry emotion dsn hav words evry wish dsn hav prayrs smile world wit othrwise even drop tear dsn lik stay wit happy good morning keep smiling,0,Emotional Support
half years missed friendship,0,Emotional Support
well great weekend,0,Emotional Support
beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves goodmorning,0,Emotional Support
velly good yes please,0,Emotional Support
hey happy birthday,0,Emotional Support
really good dhanush rocks,0,Emotional Support
excellent spent years air force iraq afghanistan stable honest like traveling,0,Emotional Support
problem walk around julianaland oblivious going around say things constantly one ear whatever want know upset listen tell going upset want surprised mad,0,Emotional Support
babe fucking love know fuck good hear voice need crave get enough adore ahmad kisses,0,Emotional Support
ugh long day exhausted want cuddle take nap,0,Emotional Support
told tell stupid hear wont tell anything dad called brother spoken,0,Emotional Support
